,price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,servant room,pooja room,furnishing_type,luxury
752,0.72,3.0,3.0,3,mid floor,Relatively New,sector 92,flat,1600.0,1,0,unfurnished,normal
753,1.55,3.0,3.0,3+,mid floor,Moderately Old,sector 56,flat,1600.0,1,0,semifurnished,normal
754,1.5,3.0,3.0,3+,mid floor,Old Property,sector 43,flat,1185.0,0,0,semifurnished,luxrious
755,3.05,3.0,4.0,2,high floor,Relatively New,sector 67,flat,1875.0,1,0,semifurnished,luxrious
756,3.83,3.0,4.0,2,mid floor,Relatively New,sector 58,flat,1775.0,1,0,semifurnished,luxrious
757,2.25,3.0,3.0,2,mid floor,Relatively New,sector 74,flat,1650.0,1,0,semifurnished,luxrious
758,1.4,4.0,4.0,3,mid floor,Relatively New,sector 83,flat,1950.0,1,0,unfurnished,normal
759,3.75,3.0,5.0,3+,high floor,Relatively New,sector 112,flat,2241.6,1,0,semifurnished,normal
760,1.51,3.0,3.0,3,mid floor,Relatively New,sector 70,flat,1580.8000000000002,1,0,unfurnished,normal
761,2.7,3.0,3.0,3+,mid floor,Relatively New,sector 48,flat,1700.0,1,0,semifurnished,luxrious
762,3.35,4.0,4.0,3+,high floor,Relatively New,sector 113,flat,2692.0,1,0,semifurnished,luxrious
763,1.5,3.0,3.0,2,mid floor,Relatively New,sector 69,flat,1400.0,0,1,semifurnished,luxrious
764,2.2,3.0,4.0,3+,mid floor,Relatively New,sector 81,flat,2300.0,1,0,semifurnished,luxrious
765,2.55,4.0,4.0,3+,high floor,Relatively New,sector 82,flat,1340.0,0,0,furnished,normal
766,0.45,2.0,2.0,2,mid floor,Relatively New,sector 81,flat,598.0,0,0,semifurnished,normal
767,1.18,3.0,3.0,2,high floor,Relatively New,sector 83,flat,1500.0,0,0,unfurnished,low
768,0.85,2.0,2.0,3,mid floor,Relatively New,sector 84,flat,1050.0,0,0,semifurnished,low
769,1.49,3.0,3.0,3,mid floor,Relatively New,sector 84,flat,1700.0,1,0,unfurnished,low
770,6.5,4.0,5.0,3+,mid floor,Relatively New,sector 53,flat,2500.0,1,1,semifurnished,luxrious
771,1.18,4.0,4.0,3,mid floor,Relatively New,sector 92,flat,2266.0,1,0,unfurnished,semi_luxrious
772,0.8,3.0,3.0,3,mid floor,Relatively New,sector 92,flat,1523.0,0,0,semifurnished,semi_luxrious
773,1.42,4.0,4.0,3,mid floor,Relatively New,sector 83,flat,1600.0,1,0,unfurnished,semi_luxrious
774,5.0,3.0,3.0,3,low floor,Relatively New,sector 65,flat,3000.0,1,0,semifurnished,luxrious
775,1.72,3.0,3.0,1,mid floor,Relatively New,sector 86,flat,1543.2,0,0,semifurnished,normal
776,1.95,3.0,3.0,3+,low floor,New Property,sector 65,flat,1400.0,0,0,semifurnished,luxrious
777,0.75,3.0,3.0,3,mid floor,New Property,sector 83,flat,1000.0,0,0,semifurnished,normal
778,1.72,3.0,3.0,3+,mid floor,Relatively New,sector 37,flat,1752.8000000000002,1,0,unfurnished,normal
779,2.5,4.0,5.0,3+,mid floor,Relatively New,sector 102,flat,2350.0,1,1,semifurnished,luxrious
780,1.7,3.0,4.0,3+,mid floor,Relatively New,sector 102,flat,1600.0,1,1,semifurnished,luxrious
781,1.14,2.0,2.0,2,high floor,Moderately Old,sector 50,flat,1100.0,0,0,semifurnished,luxrious
782,1.35,3.0,3.0,3,low floor,Old Property,sector 43,flat,1345.0,0,0,semifurnished,semi_luxrious
783,0.27,2.0,2.0,1,mid floor,Relatively New,sector 99,flat,448.0,0,0,unfurnished,semi_luxrious
784,1.4,4.0,4.0,3+,high floor,Relatively New,sector 86,flat,1884.8,1,1,unfurnished,semi_luxrious
785,1.25,3.0,4.0,3+,low floor,Relatively New,sector 86,flat,1544.0,1,1,unfurnished,semi_luxrious
786,1.18,2.0,2.0,3,mid floor,Relatively New,sector 85,flat,1100.0,0,0,semifurnished,luxrious
787,1.1,2.0,2.0,3,mid floor,Relatively New,sector 85,flat,1150.0,0,1,unfurnished,luxrious
788,1.21,3.0,3.0,3,mid floor,Moderately Old,sector 107,flat,1500.0,0,0,semifurnished,luxrious
789,3.45,4.0,4.0,3,mid floor,Moderately Old,sector 110,flat,2720.0,1,0,semifurnished,luxrious
790,1.95,3.0,3.0,3,mid floor,Relatively New,sector 102,flat,1481.6,0,0,unfurnished,semi_luxrious
791,3.65,4.0,5.0,3+,high floor,Moderately Old,sector 111,flat,2360.0,1,0,semifurnished,luxrious
792,2.3,3.0,3.0,3,mid floor,Moderately Old,sector 28,flat,1946.348,1,0,unfurnished,luxrious
793,3.4,3.0,4.0,3,mid floor,Relatively New,sector 66,flat,1760.0,1,0,semifurnished,semi_luxrious
794,1.14,3.0,3.0,3+,low floor,Relatively New,sohna road,flat,1062.0,0,0,unfurnished,luxrious
795,0.96,2.0,2.0,3+,high floor,Relatively New,sohna road,flat,849.0,0,0,unfurnished,luxrious
796,3.05,3.0,4.0,3,low floor,Relatively New,sector 113,flat,1960.0,1,0,unfurnished,luxrious
797,2.35,3.0,4.0,3,low floor,Relatively New,sector 113,flat,1760.0,1,0,unfurnished,luxrious
798,1.05,2.0,2.0,3,low floor,Relatively New,sector 99,flat,1240.0,0,0,unfurnished,normal
799,1.02,2.0,2.0,3,low floor,Relatively New,sector 99,flat,1160.0,0,0,unfurnished,luxrious
800,1.08,3.0,5.0,3,low floor,Relatively New,sector 99,flat,1630.0,1,0,unfurnished,normal
801,1.75,2.0,2.0,2,mid floor,Relatively New,sector 113,flat,1264.0,0,0,unfurnished,semi_luxrious
802,2.45,3.0,3.0,3,mid floor,Relatively New,sector 113,flat,1780.0,0,0,unfurnished,semi_luxrious
803,6.0,5.0,6.0,3+,hometop,Moderately Old,sector 113,flat,6565.0,0,0,unfurnished,luxrious
804,1.68,3.0,3.0,3,mid floor,Relatively New,sector 109,flat,1396.0,0,0,unfurnished,luxrious
805,1.26,2.0,2.0,2,mid floor,Relatively New,sector 102,flat,972.0,0,0,unfurnished,semi_luxrious
806,1.82,3.0,4.0,3+,high floor,Relatively New,sector 102,flat,1553.6,1,0,unfurnished,semi_luxrious
807,2.58,3.0,4.0,2,mid floor,Relatively New,sector 111,flat,1760.0,1,0,unfurnished,semi_luxrious
808,1.75,2.0,2.0,3,mid floor,Relatively New,sector 113,flat,1258.4,0,0,unfurnished,semi_luxrious
809,2.6,3.0,3.0,2,mid floor,Relatively New,sector 108,flat,1368.8000000000002,0,0,unfurnished,semi_luxrious
810,2.9,3.0,4.0,2,high floor,Relatively New,sector 108,flat,1602.4,0,0,unfurnished,semi_luxrious
811,1.4,3.0,4.0,3+,mid floor,Relatively New,sector 107,flat,1888.8,1,0,unfurnished,luxrious
812,2.95,4.0,5.0,3+,mid floor,Relatively New,sector 109,flat,2520.0,1,0,unfurnished,semi_luxrious
813,2.25,3.0,4.0,3,high floor,Relatively New,sector 109,flat,2068.0,1,0,unfurnished,semi_luxrious
814,1.4,3.0,3.0,3+,mid floor,Relatively New,sector 109,flat,1400.0,0,0,unfurnished,semi_luxrious
815,1.26,3.0,2.0,3,mid floor,Relatively New,sector 109,flat,1504.0,0,0,unfurnished,semi_luxrious
816,1.7,4.0,4.0,1,high floor,Relatively New,sector 69,flat,1576.0,0,0,unfurnished,semi_luxrious
817,1.43,3.0,3.0,2,low floor,Relatively New,sector 69,flat,1262.4,0,1,unfurnished,semi_luxrious
818,1.3,3.0,3.0,1,high floor,Relatively New,sector 69,flat,1254.4,0,1,unfurnished,semi_luxrious
819,1.32,3.0,3.0,1,high floor,Relatively New,sector 69,flat,1254.4,0,1,unfurnished,semi_luxrious
820,2.0,4.0,4.0,2,groundfloor,Relatively New,sector 69,flat,1608.0,0,0,unfurnished,semi_luxrious
821,1.43,3.0,3.0,2,low floor,Relatively New,sector 69,flat,1286.4,0,1,unfurnished,semi_luxrious
822,3.46,4.0,4.0,3+,mid floor,New Property,sector 81,flat,2297.6,1,0,furnished,luxrious
823,2.25,3.0,3.0,3+,mid floor,New Property,sector 81,flat,1705.6,1,0,furnished,luxrious
824,1.7,3.0,3.0,3,high floor,Moderately Old,sector 109,flat,1250.0,0,0,unfurnished,normal
825,1.8,3.0,3.0,3+,mid floor,Relatively New,sector 109,flat,1527.0,0,0,unfurnished,luxrious
826,1.35,3.0,2.0,3+,high floor,Relatively New,sector 109,flat,1128.0,0,0,unfurnished,luxrious
827,5.4,3.0,4.0,3,high floor,Moderately Old,sector 65,flat,2383.2000000000003,1,0,semifurnished,luxrious
828,1.55,3.0,3.0,3+,low floor,Moderately Old,sector 54,flat,1900.0,0,1,semifurnished,luxrious
829,1.6,2.0,2.0,2,high floor,Relatively New,sector 74,flat,1345.0,0,0,semifurnished,luxrious
830,2.09,4.0,4.0,3+,mid floor,Relatively New,sector 56,flat,2200.0,0,0,semifurnished,luxrious
831,1.75,3.0,3.0,3+,mid floor,Moderately Old,sector 54,flat,2000.0,1,0,semifurnished,luxrious
832,1.38,3.0,3.0,3,mid floor,Relatively New,sector 83,flat,1150.0,1,0,semifurnished,low
833,2.25,3.0,3.0,3,low floor,Relatively New,sector 65,flat,1350.0,1,0,semifurnished,normal
834,2.4,3.0,4.0,3+,high floor,Relatively New,sector 81,flat,1682.4,1,0,furnished,luxrious
835,1.72,3.0,3.0,3,low floor,Relatively New,sector 83,flat,1240.00128,1,0,semifurnished,luxrious
836,0.88,3.0,4.0,3,mid floor,Moderately Old,sector 78,flat,1501.0,1,1,unfurnished,luxrious
837,3.15,5.0,7.0,3+,high floor,Relatively New,sector 83,flat,2444.912246,1,0,semifurnished,luxrious
838,1.72,3.0,3.0,3,mid floor,Relatively New,sector 37,flat,996.306584,0,0,semifurnished,low
839,1.47,2.0,2.0,3,high floor,New Property,sector 74,flat,1132.0,0,0,semifurnished,normal
840,1.1,3.0,4.0,3,low floor,Moderately Old,sector 71,flat,1441.6,1,0,unfurnished,low
841,1.32,4.0,4.0,3,high floor,Moderately Old,sector 71,flat,1754.4,1,0,unfurnished,semi_luxrious
842,1.3,4.0,4.0,3,mid floor,Moderately Old,sector 71,flat,1880.0,1,0,unfurnished,luxrious
843,1.35,4.0,4.0,3,mid floor,Moderately Old,sector 71,flat,1880.0,1,0,unfurnished,low
844,3.0,4.0,4.0,3,low floor,Relatively New,sector 66,flat,2500.0,1,1,semifurnished,luxrious
845,1.6,3.0,3.0,3+,mid floor,Relatively New,sector 86,flat,1300.0,0,0,semifurnished,luxrious
846,3.0,4.0,4.0,3,mid floor,Moderately Old,sector 49,flat,2000.0,1,1,semifurnished,luxrious
847,0.9,3.0,3.0,3+,mid floor,Moderately Old,sector 1,flat,2070.4,1,0,unfurnished,low
848,1.75,3.0,4.0,3+,mid floor,Moderately Old,sector 54,flat,1700.0,1,0,semifurnished,semi_luxrious
849,2.0,3.0,3.0,3,mid floor,Relatively New,sector 102,flat,1481.6,0,0,unfurnished,normal
850,1.8,3.0,3.0,3,mid floor,Relatively New,sector 102,flat,1353.6,0,0,unfurnished,normal
851,1.6,3.0,3.0,3,mid floor,Relatively New,sector 109,flat,1396.0,0,0,unfurnished,semi_luxrious
852,1.4,3.0,3.0,3,mid floor,Relatively New,sector 110,flat,1450.0,0,0,semifurnished,luxrious
853,1.8,3.0,3.0,3+,mid floor,Relatively New,sector 110,flat,1650.0,1,0,semifurnished,luxrious
854,2.7,4.0,4.0,3+,mid floor,Moderately Old,sector 67,flat,1880.0,1,1,semifurnished,luxrious
855,1.55,3.0,3.0,3,mid floor,Relatively New,sector 86,flat,1720.0,0,0,unfurnished,normal
856,1.15,3.0,4.0,2,high floor,Relatively New,sector 82,flat,1432.0,1,1,semifurnished,semi_luxrious
857,1.49,3.0,3.0,3,mid floor,Relatively New,sector 102,flat,1022.5705,0,0,semifurnished,luxrious
858,1.91,3.0,4.0,2,high floor,Relatively New,sector 102,flat,1228.16099,1,0,semifurnished,luxrious
859,1.05,3.0,3.0,3,mid floor,Moderately Old,sector 83,flat,1225.0,0,1,semifurnished,semi_luxrious
860,2.14,4.0,6.0,3+,mid floor,Relatively New,sector 103,flat,2550.0,1,0,unfurnished,luxrious
861,1.02,2.0,2.0,3,high floor,Moderately Old,sector 2,flat,1132.0,0,0,unfurnished,semi_luxrious
862,0.56,1.0,1.0,2,mid floor,Moderately Old,sector 2,flat,650.0,0,0,unfurnished,semi_luxrious
863,2.5,2.0,3.0,2,low floor,Relatively New,sector 60,flat,1240.0,0,0,unfurnished,semi_luxrious
864,2.0,3.0,3.0,3,high floor,Moderately Old,sector 61,flat,1360.0,0,0,semifurnished,semi_luxrious
865,2.2,3.0,4.0,3+,mid floor,Moderately Old,sector 63,flat,1373.6,0,0,semifurnished,semi_luxrious
866,1.65,3.0,4.0,3,low floor,Moderately Old,sector 108,flat,1302.0013439999998,0,0,semifurnished,semi_luxrious
867,1.6,2.0,2.0,2,high floor,Moderately Old,sector 70,flat,1252.0,0,0,unfurnished,semi_luxrious
868,0.85,2.0,2.0,2,groundfloor,Relatively New,sector 82,flat,1040.0,0,0,semifurnished,normal
869,1.4,3.0,3.0,3,low floor,Relatively New,sector 102,flat,1022.5705,1,0,unfurnished,semi_luxrious
870,2.09,3.0,3.0,2,high floor,Old Property,sector 43,flat,1144.0,0,0,semifurnished,semi_luxrious
871,2.51,3.0,3.0,3+,mid floor,Old Property,sector 49,flat,1648.8000000000002,0,0,semifurnished,semi_luxrious
872,1.69,3.0,3.0,3+,mid floor,Old Property,sector 54,flat,1760.0,1,0,semifurnished,semi_luxrious
873,0.98,2.0,2.0,3,high floor,Moderately Old,sector 2,flat,1132.0,0,0,unfurnished,semi_luxrious
874,2.0,4.0,4.0,3+,mid floor,Relatively New,sector 108,flat,2300.0,1,1,semifurnished,luxrious
875,1.95,3.0,3.0,3,low floor,Old Property,sector 49,flat,1444.0,0,0,semifurnished,semi_luxrious
876,2.1,3.0,3.0,1,low floor,Old Property,sector 43,flat,1089.6,0,0,semifurnished,semi_luxrious
877,1.55,3.0,3.0,3,mid floor,Old Property,sector 56,flat,1600.0,1,0,semifurnished,normal
878,1.98,3.0,4.0,3,mid floor,Moderately Old,sector 49,flat,1670.0,1,0,semifurnished,semi_luxrious
879,2.05,4.0,4.0,3+,mid floor,Moderately Old,sector 56,flat,2400.0,0,0,semifurnished,normal
880,1.4,3.0,3.0,3+,mid floor,Relatively New,sector 52,flat,2300.0,0,0,semifurnished,semi_luxrious
881,1.4,3.0,3.0,3+,mid floor,Relatively New,sector 109,flat,1350.0,0,0,unfurnished,luxrious
882,2.36,4.0,6.0,3+,mid floor,Relatively New,sector 103,flat,2570.0,1,0,semifurnished,luxrious
883,1.65,3.0,3.0,3,high floor,Relatively New,sector 109,flat,1550.0,0,0,semifurnished,luxrious
884,2.65,3.0,4.0,2,mid floor,Relatively New,sector 111,flat,1950.0,1,0,semifurnished,luxrious
885,2.63,4.0,4.0,3+,hometop,Relatively New,sector 104,flat,2750.0,1,0,semifurnished,luxrious
886,2.25,3.0,4.0,3+,low floor,Relatively New,sector 104,flat,2150.0,1,0,semifurnished,luxrious
887,2.55,4.0,4.0,3+,high floor,Relatively New,sector 104,flat,1950.0,1,0,unfurnished,luxrious
888,1.15,2.0,2.0,3,mid floor,Relatively New,sector 103,flat,1184.8,0,0,semifurnished,luxrious
889,1.45,3.0,3.0,3+,mid floor,Old Property,sector 56,flat,1800.0,1,1,unfurnished,luxrious
890,2.6,4.0,4.0,3+,hometop,Relatively New,sector 104,flat,2950.0,1,0,semifurnished,luxrious
891,1.55,3.0,4.0,3,mid floor,Relatively New,sector 102,flat,1022.5705,1,0,semifurnished,luxrious
892,1.2,2.0,2.0,3,mid floor,Moderately Old,sector 70,flat,1136.0,0,0,unfurnished,normal
893,1.55,3.0,3.0,3,mid floor,Relatively New,sector 70,flat,1161.0,1,1,unfurnished,normal
894,1.65,3.0,4.0,3,mid floor,Relatively New,sector 70,flat,1161.0,1,0,semifurnished,normal
895,1.05,2.0,2.0,3,mid floor,Relatively New,sector 85,flat,1312.0,0,0,unfurnished,normal
896,1.29,3.0,3.0,3,mid floor,Relatively New,sector 90,flat,1430.0,0,0,unfurnished,luxrious
897,0.56,2.0,2.0,2,groundfloor,Relatively New,sector 67,flat,700.0,0,0,unfurnished,normal
898,1.26,3.0,3.0,2,high floor,Relatively New,sector 90,flat,1395.2,0,0,unfurnished,low
899,1.91,4.0,6.0,3,mid floor,Relatively New,sector 85,flat,3800.0,1,0,unfurnished,luxrious
900,2.2,4.0,6.0,3,mid floor,Relatively New,sector 85,flat,3950.0,1,0,unfurnished,luxrious
901,1.98,3.0,4.0,3,high floor,Relatively New,sector 85,flat,2408.0,0,0,unfurnished,luxrious
902,1.11,2.0,2.0,3,mid floor,Relatively New,sector 85,flat,1640.0,0,0,unfurnished,luxrious
903,2.25,3.0,4.0,3+,high floor,Relatively New,sector 81,flat,2092.0,1,0,furnished,luxrious
904,1.05,3.0,3.0,3,mid floor,Relatively New,sector 84,flat,1550.0,0,0,unfurnished,luxrious
905,2.6,4.0,4.0,3+,low floor,Relatively New,sector 82,flat,1340.0,0,0,unfurnished,normal
906,1.04,2.0,2.0,3,high floor,New Property,sector 85,flat,1250.0,0,0,unfurnished,luxrious
907,1.25,3.0,3.0,2,high floor,Relatively New,sector 90,flat,1395.2,0,0,unfurnished,low
908,3.4,3.0,3.0,2,high floor,Relatively New,sector 112,flat,2241.6,0,0,semifurnished,luxrious
909,1.25,3.0,3.0,3,high floor,Moderately Old,sector 90,flat,1362.4,1,0,unfurnished,normal
910,0.42,2.0,2.0,1,mid floor,New Property,sector 86,flat,501.0,1,1,unfurnished,normal
911,0.75,2.0,2.0,2,high floor,Relatively New,sector 83,flat,1020.0,0,0,semifurnished,semi_luxrious
912,1.7,4.0,4.0,3+,high floor,Moderately Old,sector 90,flat,1772.0,1,0,unfurnished,normal
913,0.87,2.0,2.0,2,mid floor,Relatively New,sector 91,flat,1000.0,0,0,unfurnished,semi_luxrious
914,1.25,3.0,3.0,3,high floor,Moderately Old,sector 90,flat,1200.0,1,0,unfurnished,semi_luxrious
915,2.35,3.0,4.0,3+,high floor,Relatively New,sector 81,flat,1100.0,1,0,unfurnished,semi_luxrious
916,1.73,3.0,4.0,3+,high floor,Relatively New,sector 104,flat,1832.0,1,0,unfurnished,luxrious
917,0.97,2.0,2.0,3,mid floor,New Property,sector 106,flat,1100.0,0,1,semifurnished,luxrious
918,1.35,4.0,4.0,3+,high floor,Relatively New,sector 106,flat,1850.0,1,1,semifurnished,luxrious
919,1.32,3.0,5.0,3,high floor,New Property,sector 99,flat,1500.0,1,0,unfurnished,semi_luxrious
920,0.71,2.0,2.0,3,mid floor,Relatively New,sohna road,flat,1020.0,0,0,unfurnished,luxrious
921,0.78,2.0,2.0,2,mid floor,Relatively New,sohna road,flat,1165.6,0,0,semifurnished,luxrious
922,5.5,3.0,4.0,3,low floor,Relatively New,sector 65,flat,2388.0,1,0,unfurnished,normal
923,2.3,3.0,4.0,3+,high floor,Relatively New,sector 81,flat,1600.0,1,0,furnished,luxrious
924,0.43,2.0,2.0,2,mid floor,Relatively New,sector 95,flat,1020.0,0,0,unfurnished,luxrious
925,0.98,2.0,2.0,3,mid floor,Relatively New,sector 107,flat,1056.0,0,0,semifurnished,luxrious
926,0.8,2.0,2.0,3+,mid floor,Relatively New,sector 107,flat,1055.0,0,1,semifurnished,luxrious
927,2.65,4.0,4.0,3+,mid floor,Relatively New,sector 104,flat,2520.0,1,0,unfurnished,luxrious
928,2.35,3.0,3.0,2,low floor,Old Property,sector 43,flat,1405.0,0,0,semifurnished,semi_luxrious
929,1.29,3.0,3.0,3+,low floor,Relatively New,sector 107,flat,1460.0,0,1,semifurnished,luxrious
930,1.83,3.0,4.0,3+,mid floor,Relatively New,sector 104,flat,1750.0,1,0,unfurnished,luxrious
931,1.39,3.0,4.0,3+,mid floor,Relatively New,sector 107,flat,1780.0,1,1,semifurnished,luxrious
932,1.12,3.0,3.0,2,low floor,Relatively New,sector 83,flat,1126.0,1,1,semifurnished,luxrious
933,0.65,2.0,2.0,2,mid floor,Relatively New,sector 108,flat,1092.0,0,1,semifurnished,luxrious
934,1.5,3.0,4.0,3+,low floor,Relatively New,sector 91,flat,1325.0,1,0,unfurnished,luxrious
935,1.9,4.0,4.0,3,mid floor,Relatively New,sector 91,flat,2179.2000000000003,1,0,unfurnished,luxrious
936,2.35,3.0,3.0,3,mid floor,Moderately Old,sector 50,flat,1850.0,0,0,semifurnished,luxrious
937,0.6,1.0,1.0,1,mid floor,Moderately Old,sector 2,flat,588.0,0,0,semifurnished,semi_luxrious
938,2.0,3.0,3.0,1,high floor,Old Property,sector 28,flat,1096.0,0,0,semifurnished,semi_luxrious
939,1.57,2.0,2.0,3+,mid floor,Relatively New,sector 74,flat,1100.0,0,0,unfurnished,luxrious
940,1.44,3.0,3.0,3+,mid floor,New Property,sector 37,flat,1990.0,1,0,unfurnished,normal
941,1.26,3.0,3.0,3,low floor,New Property,sector 37,flat,965.0,0,0,unfurnished,low
942,1.05,2.0,2.0,2,high floor,New Property,sector 68,flat,1000.0,0,0,semifurnished,luxrious
943,6.44,4.0,4.0,3,mid floor,Moderately Old,sector 53,flat,2712.0,1,0,semifurnished,semi_luxrious
944,7.56,4.0,4.0,3+,high floor,Relatively New,sector 62,flat,4200.0,1,1,semifurnished,semi_luxrious
945,3.8,3.0,3.0,3+,low floor,Moderately Old,sector 43,flat,2450.032,1,1,semifurnished,semi_luxrious
946,6.75,4.0,4.0,2,mid floor,Moderately Old,sector 54,flat,1534.0,1,0,furnished,luxrious
947,0.65,2.0,2.0,3,high floor,Relatively New,sector 90,flat,1075.0,0,0,semifurnished,normal
948,1.75,3.0,4.0,3+,mid floor,Relatively New,sector 109,flat,1720.0,1,0,unfurnished,luxrious
949,1.54,3.0,4.0,3+,mid floor,Old Property,sector 56,flat,1850.0,1,0,semifurnished,semi_luxrious
950,1.4,3.0,3.0,3,low floor,Relatively New,sector 102,flat,1320.0,1,0,semifurnished,semi_luxrious
951,0.97,2.0,2.0,2,high floor,Relatively New,sector 102,flat,732.0,0,0,unfurnished,semi_luxrious
952,1.35,2.0,2.0,2,mid floor,Relatively New,sector 102,flat,1087.2,0,0,unfurnished,semi_luxrious
953,1.75,3.0,4.0,3+,high floor,Relatively New,sector 102,flat,1553.6,1,0,semifurnished,semi_luxrious
954,2.2,4.0,6.0,3+,low floor,Relatively New,sector 103,flat,2300.0,1,0,semifurnished,semi_luxrious
955,2.45,3.0,3.0,3,high floor,Relatively New,sector 108,flat,1320.0,0,0,unfurnished,normal
956,1.5,4.0,6.0,3+,high floor,Relatively New,sector 106,flat,1403.0,1,0,unfurnished,luxrious
957,2.4,3.0,4.0,3+,mid floor,Relatively New,sector 113,flat,1730.0,1,0,unfurnished,normal
958,2.45,3.0,3.0,3+,low floor,Relatively New,sector 113,flat,1680.0,0,0,unfurnished,luxrious
959,3.0,3.0,3.0,3+,low floor,Relatively New,sector 113,flat,2100.0,1,0,unfurnished,luxrious
960,1.65,3.0,2.0,2,low floor,Relatively New,sector 113,flat,1220.0,0,0,unfurnished,normal
961,0.88,2.0,2.0,3+,low floor,Relatively New,sector 106,flat,1040.0,0,0,unfurnished,normal
962,0.88,2.0,2.0,3+,low floor,Relatively New,sector 106,flat,845.0,0,0,unfurnished,normal
963,1.28,3.0,4.0,3+,high floor,Relatively New,sector 106,flat,1130.0,1,0,unfurnished,normal
964,1.34,4.0,5.0,3+,mid floor,Relatively New,sector 106,flat,1403.0,1,0,unfurnished,normal
965,1.32,4.0,5.0,3+,high floor,Relatively New,sector 106,flat,1403.0,1,0,unfurnished,normal
966,1.13,3.0,4.0,3+,high floor,Relatively New,sector 106,flat,1130.0,1,0,unfurnished,normal
967,1.38,4.0,5.0,3+,low floor,Relatively New,sector 99,flat,1930.0,1,0,unfurnished,normal
968,1.16,3.0,3.0,3,low floor,Relatively New,sector 99,flat,1420.0,1,0,unfurnished,normal
969,2.33,3.0,3.0,3,low floor,New Property,sector 113,flat,1859.0,1,0,unfurnished,luxrious
970,3.05,3.0,4.0,3,high floor,New Property,sector 113,flat,2240.0,1,0,unfurnished,luxrious
971,1.25,3.0,2.0,1,mid floor,Relatively New,sector 83,flat,1461.9959536,1,1,furnished,luxrious
972,1.25,3.0,3.0,2,low floor,Relatively New,sector 79,flat,862.1883899999999,0,1,semifurnished,luxrious
973,1.05,3.0,3.0,2,high floor,Relatively New,sector 83,flat,1404.0,1,1,semifurnished,luxrious
974,1.25,3.0,3.0,3,high floor,Relatively New,sector 79,flat,863.910614,0,1,unfurnished,luxrious
975,1.1,3.0,3.0,3,high floor,Relatively New,sector 79,flat,863.910614,0,1,semifurnished,luxrious
976,1.3,3.0,3.0,3,high floor,Relatively New,sector 83,flat,1095.334464,1,0,semifurnished,luxrious
977,2.28,4.0,4.0,3+,mid floor,Relatively New,sector 84,flat,2600.0,1,0,unfurnished,semi_luxrious
978,1.2,2.0,2.0,2,low floor,Relatively New,sector 85,flat,970.0,1,0,unfurnished,semi_luxrious
979,1.22,2.0,2.0,3,high floor,Relatively New,sector 85,flat,916.0,0,0,unfurnished,semi_luxrious
980,1.1,2.0,2.0,3,high floor,Relatively New,sector 85,flat,882.0,0,0,unfurnished,semi_luxrious
981,1.15,2.0,2.0,3,high floor,Relatively New,sector 85,flat,961.0,0,1,unfurnished,semi_luxrious
982,1.2,3.0,3.0,3,high floor,Relatively New,sector 79,flat,867.2474229999999,0,1,semifurnished,luxrious
983,1.4,3.0,3.0,3,low floor,Relatively New,sector 83,flat,1095.334464,1,1,semifurnished,luxrious
984,1.1,3.0,3.0,2,mid floor,Relatively New,sector 83,flat,1404.0,0,1,semifurnished,luxrious
985,1.0,3.0,3.0,2,low floor,Relatively New,sector 83,flat,1392.0,0,0,semifurnished,luxrious
986,1.52,3.0,4.0,3,high floor,Relatively New,sector 84,flat,1500.0,1,0,unfurnished,semi_luxrious
987,1.8,3.0,4.0,3,low floor,Relatively New,sector 83,flat,1244.30684,1,1,semifurnished,luxrious
988,1.6,3.0,3.0,3+,mid floor,Relatively New,sector 83,flat,1480.0,1,1,semifurnished,luxrious
989,1.55,3.0,4.0,3,high floor,Relatively New,sector 79,flat,1071.330967,1,0,semifurnished,luxrious
990,1.3,3.0,3.0,2,mid floor,Relatively New,sector 79,flat,867.2474229999999,0,1,unfurnished,luxrious
991,2.25,3.0,4.0,3+,mid floor,Relatively New,sector 81,flat,2100.0,1,0,semifurnished,luxrious
992,4.79,5.0,5.0,3+,high floor,Relatively New,sector 49,flat,3292.0,1,1,unfurnished,normal
993,1.25,3.0,3.0,3,mid floor,Relatively New,sector 90,flat,1600.0,0,0,semifurnished,normal
994,1.4,3.0,3.0,3+,mid floor,Relatively New,sector 91,flat,1600.0,0,0,unfurnished,semi_luxrious
995,1.38,3.0,3.0,3+,mid floor,Relatively New,sector 88,flat,2066.0,1,0,unfurnished,semi_luxrious
996,1.3,3.0,3.0,3+,low floor,Relatively New,sector 88,flat,1791.0,0,0,unfurnished,semi_luxrious
997,1.0,2.0,2.0,2,low floor,Relatively New,sector 79,flat,1200.0,0,0,unfurnished,normal
998,1.0,2.0,2.0,3,mid floor,Relatively New,sector 88,flat,1450.0,0,0,unfurnished,semi_luxrious
999,0.95,2.0,2.0,2,mid floor,Relatively New,sector 88,flat,1307.0,0,0,unfurnished,semi_luxrious
1000,1.85,2.0,3.0,3,high floor,Relatively New,sector 66,flat,1251.0,1,0,semifurnished,semi_luxrious
1001,1.65,4.0,3.0,3,mid floor,Relatively New,sector 77,flat,1560.0,1,0,unfurnished,semi_luxrious
1002,1.32,3.0,3.0,3,mid floor,Relatively New,sector 107,flat,1554.4,0,0,unfurnished,luxrious
