society,price,price_persqft,bedRoom,bathroom,balcony,floorNum,agePossession,sector,type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
emaar mgf the palm drive,3.0,15384.0,3.0,3.0,2,12.0,Relatively New,sector 66,flat,1620.0,0,1,0,0,0,2,96
emaar palm gardens,1.75,9210.0,3.0,3.0,3+,11.0,Relatively New,sector 83,flat,1240.00128,0,1,0,0,0,2,120
emaar palm gardens,1.75,9210.0,3.0,3.0,3,6.0,Relatively New,sector 83,flat,1240.00128,0,1,0,0,0,0,105
ireo skyon,3.8,13571.0,4.0,5.0,3,15.0,Moderately Old,sector 60,flat,2800.0,0,1,0,0,0,0,145
dlf the ultima,3.5,11686.0,4.0,5.0,3+,7.0,Relatively New,sector 81,flat,2200.0,0,1,0,0,0,1,174
dlf regal gardens,1.78,8036.0,4.0,4.0,3+,8.0,Relatively New,sector 90,flat,1650.0,0,0,0,0,0,2,126
ss the leaf,1.08,6585.0,2.0,2.0,3,8.0,New Property,sector 85,flat,1125.0,1,1,1,1,0,0,157
ss the leaf,2.03,7230.0,4.0,4.0,3+,3.0,Relatively New,sector 85,flat,2175.0,0,0,0,0,1,2,49
ss the leaf,1.12,6453.0,2.0,2.0,3,10.0,Relatively New,sector 85,flat,1335.0,0,0,0,0,1,2,49
ss the leaf,2.0,6578.0,4.0,5.0,3+,1.0,Relatively New,sector 85,flat,2249.6,0,1,1,0,0,2,106
ss the leaf,1.04,5973.0,2.0,3.0,3+,4.0,Relatively New,sector 85,flat,1392.8000000000002,0,0,1,0,0,2,113
orris aster court premier,1.25,5896.0,3.0,4.0,2,5.0,Relatively New,sector 85,flat,1800.0,0,1,0,0,0,0,174
ireo skyon,2.05,15185.0,2.0,3.0,2,2.0,Relatively New,sector 60,flat,1350.0,0,0,1,0,0,0,174
tata primanti,3.19,12152.0,4.0,5.0,3+,20.0,Relatively New,sector 72,flat,2100.0,0,1,0,0,0,0,159
tata primanti,3.85,13253.0,4.0,5.0,3+,13.0,Relatively New,sector 72,flat,2324.0,0,1,0,0,0,0,174
tata primanti,3.2,12190.0,4.0,4.0,3+,8.0,Moderately Old,sector 72,flat,2625.0,0,1,0,0,0,0,168
antriksh heights,0.89,4370.0,3.0,3.0,3,8.0,Relatively New,sector 84,flat,1620.0,0,0,0,1,0,2,67
antriksh heights,0.49,4355.0,2.0,2.0,2,16.0,Relatively New,sector 84,flat,900.0,0,0,0,0,0,2,66
shree vardhman victoria,1.65,8461.0,3.0,4.0,3,12.0,Relatively New,sector 70,flat,1560.0,0,1,1,0,0,2,56
bestech park view grand spa,2.35,8834.0,3.0,4.0,3+,10.0,Relatively New,sector 81,flat,2354.0,0,1,0,0,0,2,109
bestech park view ananda,1.4,7734.0,3.0,3.0,3+,6.0,Relatively New,sector 81,flat,1180.0,0,0,0,0,0,2,95
mapsko royale ville,0.97,5418.0,3.0,4.0,2,16.0,Relatively New,sector 82,flat,1432.0,0,1,0,0,0,2,95
the close north,2.35,11358.0,3.0,3.0,3,8.0,Moderately Old,sector 50,flat,1800.0,0,0,0,0,0,0,49
bestech park view spa next,3.32,12599.0,4.0,5.0,3+,12.0,Moderately Old,sector 67,flat,2108.0,0,1,0,0,0,0,174
vatika gurgaon,1.25,6313.0,3.0,3.0,2,12.0,Moderately Old,sector 83,flat,1400.0,0,1,0,0,0,2,95
m3m merlin,2.8,13678.0,3.0,3.0,3,5.0,Moderately Old,sector 67,flat,1880.0,0,1,0,0,0,1,26
m3m latitude,4.7,19747.0,3.0,3.0,3+,9.0,Relatively New,sector 65,flat,1231.0,0,1,0,1,0,0,44
emaar gurgaon greens,1.3,7878.0,3.0,3.0,3,7.0,Relatively New,sector 102,flat,1155.0,0,1,0,0,0,2,93
umang monsoon breeze,0.62,5004.0,2.0,2.0,1,7.0,Moderately Old,sector 78,flat,947.0,0,0,1,0,0,2,111
umang monsoon breeze,0.8,4836.0,3.0,2.0,2,7.0,Moderately Old,sector 78,flat,1310.0,0,0,0,1,0,2,102
emaar palm gardens,1.73,9105.0,3.0,3.0,3,5.0,Relatively New,sector 83,flat,1240.00128,0,1,0,0,0,0,174
bestech spa signature,4.45,10595.0,4.0,4.0,3+,8.0,Relatively New,sector 81,flat,3600.0,1,1,0,1,1,0,49
bestech park view grand spa,2.3,8646.0,3.0,4.0,3+,7.0,Relatively New,sector 81,flat,1950.0,0,1,0,0,0,0,49
dlf the ultima,2.2,10461.0,3.0,3.0,3+,5.0,Relatively New,sector 81,flat,1257.0,1,1,0,1,1,1,49
dlf the ultima,2.12,10080.0,3.0,3.0,3+,9.0,Relatively New,sector 81,flat,1257.0,1,1,0,1,1,1,49
dlf the ultima,2.25,10699.0,3.0,3.0,3+,11.0,Relatively New,sector 81,flat,1257.0,1,1,0,1,1,1,49
bestech park view sanskruti,1.9,8172.0,4.0,4.0,3+,10.0,Relatively New,sector 92,flat,1750.0,1,1,0,1,1,2,49
bestech spa signature,4.4,12571.0,4.0,4.0,3+,6.0,New Property,sector 81,flat,3500.0,1,1,0,1,1,1,49
swarn jayanti cghs,1.75,7608.0,4.0,3.0,3+,3.0,Old Property,sector 54,flat,1800.0,0,0,0,0,1,0,26
aipl the peaceful homes,2.8,11914.0,3.0,4.0,3,22.0,Relatively New,sector 70a,flat,1322.0,0,1,0,0,0,2,49
ambience creacions,4.63,14983.0,3.0,5.0,3+,5.0,New Property,sector 22,flat,2472.0,0,1,0,0,1,2,120
m3m the marina,1.32,8759.0,2.0,2.0,3,15.0,Relatively New,sector 68,flat,1205.6000000000001,1,0,0,0,0,2,120
chd avenue,1.16,6655.0,3.0,3.0,3,5.0,Moderately Old,sector 71,flat,1394.4,0,1,0,0,0,0,73
signature global solera,0.27,5521.0,2.0,2.0,2,0.0,Relatively New,sector 107,flat,489.0,0,0,0,0,0,2,45
signature global solera,0.28,5674.0,2.0,2.0,2,6.0,Relatively New,sector 107,flat,489.0,0,0,0,0,0,2,45
emaar palm heights,1.79,8839.0,3.0,3.0,3,1.0,New Property,sector 77,flat,1548.0,0,1,0,0,0,0,49
emaar mgf palm hills,1.55,7948.0,4.0,4.0,3+,2.0,Relatively New,sector 77,flat,1702.0,1,1,0,0,0,1,49
dlf the skycourt,1.55,8035.0,3.0,3.0,3+,12.0,Relatively New,sector 86,flat,1300.0,0,0,0,0,1,1,166
la vida by tata housing,3.35,16750.0,3.0,4.0,3+,12.0,New Property,sector 113,flat,2000.0,1,1,0,0,0,2,174
emaar mgf the palm drive,3.5,16470.0,3.0,4.0,3,6.0,Relatively New,sector 66,flat,2200.0,0,1,0,0,0,2,68
parsvnath exotica,4.8,16580.0,3.0,4.0,3+,8.0,Relatively New,sector 53,flat,2200.0,0,1,0,1,1,0,174
shree arihant apartment,1.5,8108.0,3.0,3.0,3+,4.0,Moderately Old,sector 54,flat,1550.0,0,0,0,1,0,0,75
la vida by tata housing,2.78,10334.0,3.0,4.0,3+,5.0,Relatively New,sector 113,flat,2170.0,0,1,0,0,0,2,174
mahindra aura,2.25,9266.0,4.0,4.0,3+,2.0,Relatively New,sector 110,flat,2050.0,0,1,0,0,0,2,152
aipl the peaceful homes,2.55,11860.0,3.0,3.0,3,20.0,New Property,sector 70a,flat,1720.0,0,1,0,1,1,0,150
vatika gurgaon,1.25,7812.0,4.0,4.0,3,12.0,Moderately Old,sector 83,flat,1600.0,0,1,0,0,0,2,103
vatika gurgaon,0.85,8947.0,2.0,2.0,2,18.0,Moderately Old,sector 83,flat,950.0,0,0,0,1,0,0,119
krrish provence estate,5.25,9051.0,4.0,5.0,3+,2.0,New Property,sector 2,flat,4640.0,1,1,0,1,0,2,49
godrej aria,1.3,9622.0,2.0,4.0,2,3.0,Relatively New,sector 79,flat,1080.8,0,0,0,0,0,2,53
sare green parc phase 3,0.75,7142.0,3.0,2.0,2,3.0,New Property,sector 92,flat,1050.0,0,0,0,0,0,2,121
ireo victory valley,3.65,13528.0,3.0,4.0,3+,18.0,Relatively New,sector 67,flat,2158.4,0,1,0,1,0,0,61
dlf new town heights,1.65,5683.0,4.0,4.0,3+,7.0,Moderately Old,sector 90,flat,2181.6,0,0,0,0,0,2,117
dlf new town heights,1.25,6476.0,3.0,3.0,3+,17.0,Relatively New,sector 90,flat,1500.0,0,1,0,1,0,2,65
dlf new town heights,1.42,4864.0,4.0,4.0,3+,8.0,Moderately Old,sector 90,flat,1891.2,0,1,1,0,0,2,31
dlf regal gardens,1.27,5499.0,3.0,3.0,3+,2.0,Relatively New,sector 90,flat,1400.0,0,0,0,0,1,2,72
dlf regal gardens,1.65,7449.0,4.0,4.0,3+,8.0,Relatively New,sector 90,flat,1700.0,0,0,0,0,1,2,79
dlf regal gardens,1.24,7065.0,3.0,3.0,3+,9.0,Relatively New,sector 90,flat,1400.0,0,0,0,0,1,2,72
the close north,2.7,9980.0,3.0,3.0,3+,3.0,Moderately Old,sector 50,flat,2084.0,0,1,0,0,0,2,117
bptp terra,1.98,9036.0,3.0,3.0,3+,12.0,New Property,sector 37d,flat,1752.8000000000002,1,0,0,0,0,0,49
experion windchants,2.5,13888.0,2.0,2.0,3,10.0,Relatively New,sector 112,flat,1800.0,1,0,0,1,0,0,174
emaar mgf emerald floors premier,2.29,13878.0,3.0,4.0,3+,2.0,Relatively New,sector 65,flat,1650.0,1,1,0,0,0,1,174
m3m merlin,2.98,14557.0,3.0,3.0,3,0.0,Relatively New,sector 67,flat,1637.6000000000001,0,0,0,0,1,0,49
emaar palm gardens,1.35,12325.0,3.0,3.0,3,7.0,Relatively New,sector 83,flat,1095.334464,0,1,0,0,0,2,24
shri banke bihari society,1.37,9133.0,3.0,3.0,3+,2.0,Old Property,sector 56,flat,1400.0,0,0,0,0,1,2,174
kiran residency,1.55,7750.0,3.0,3.0,3+,5.0,Old Property,sector 56,flat,1700.0,0,1,0,1,1,2,166
ambience lagoon,4.25,13281.0,3.0,4.0,3+,3.0,Old Property,sector 24,flat,3200.0,0,1,0,1,0,0,143
vatika the seven lamps,1.28,6819.0,3.0,3.0,3,3.0,Relatively New,sector 82,flat,1500.0,1,0,0,0,0,0,165
shapoorji pallonji joyville gurugram,1.95,17285.0,3.0,3.0,3,12.0,New Property,sector 102,flat,1128.0567199999998,0,0,1,0,0,2,72
bestech park view grand spa,2.35,8834.0,3.0,4.0,3+,6.0,Relatively New,sector 81,flat,2356.0,0,1,0,0,0,0,101
m3m golfestate,5.0,18518.0,3.0,3.0,3+,28.0,Relatively New,sector 65,flat,2700.0,0,1,0,1,0,0,165
imperia the esfera,0.99,5500.0,3.0,3.0,1,10.0,New Property,sector 37c,flat,1452.0,0,1,0,0,0,2,49
dlf new town heights,1.95,7150.0,4.0,4.0,3+,24.0,Relatively New,sector 90,flat,2200.0,0,1,1,0,0,2,174
bestech park view grand spa,3.3,12222.0,4.0,5.0,3+,4.0,Relatively New,sector 81,flat,2700.0,1,1,0,0,0,0,174
ireo victory valley,4.75,13929.0,4.0,4.0,3+,0.0,Relatively New,sector 67,flat,3100.0,1,1,1,1,0,0,165
m3m skywalk,1.5,12500.0,2.0,2.0,3,17.0,Relatively New,sector 74,flat,1200.0,0,0,1,0,0,2,174
dlf new town heights,1.54,6514.0,4.0,4.0,3+,12.0,Moderately Old,sector 90,flat,1850.0,0,1,0,1,0,0,111
dlf new town heights,1.27,6580.0,3.0,4.0,3,19.0,Relatively New,sector 86,flat,1450.0,0,1,0,1,0,2,126
dlf regal gardens,1.17,6708.0,3.0,3.0,3,15.0,Relatively New,sector 90,flat,1290.0,0,0,0,0,0,0,136
dlf the primus,1.8,13846.0,3.0,3.0,3+,10.0,Relatively New,sector 82a,flat,1300.0,0,1,0,0,0,1,174
ansal housing highland park,0.8,5878.0,2.0,2.0,3,3.0,New Property,sector 103,flat,705.0,0,0,0,1,0,2,174
bestech park view city,1.76,9909.0,3.0,3.0,3+,9.0,Moderately Old,sector 48,flat,1476.0,0,1,0,1,0,0,158
conscient heritage max,2.22,13875.0,3.0,4.0,3+,15.0,Relatively New,sector 102,flat,1600.0,1,1,0,0,0,2,82
dlf regency park,1.24,12400.0,2.0,2.0,3+,19.0,Moderately Old,sector 28,flat,1000.0,0,0,0,1,0,0,157
godrej,1.12,7146.0,2.0,2.0,3,6.0,Relatively New,sector 79,flat,1200.0,1,0,0,0,0,2,49
adani m2k oyster grande,1.9,14074.0,3.0,4.0,3,21.0,Relatively New,sector 102,flat,1350.0,0,1,0,0,0,2,60
dlf regency park,1.35,11739.0,2.0,2.0,2,14.0,Old Property,sector 28,flat,1050.0,0,0,1,0,0,2,66
ats kocoon,2.22,10596.0,3.0,3.0,3,20.0,Relatively New,sector 109,flat,1676.0,0,1,0,0,1,2,79
experion the heartsong,0.9,7014.0,2.0,3.0,3,7.0,Relatively New,sector 108,flat,1026.4,0,1,0,0,1,2,72
ats tourmaline,1.75,8139.0,3.0,4.0,3+,2.0,Relatively New,sector 109,flat,1720.0,0,1,0,0,1,2,65
orris aster court,0.67,5825.0,2.0,2.0,2,5.0,Relatively New,sector 85,flat,1150.0,0,0,0,0,1,0,174
ireo victory valley,2.95,12110.0,3.0,3.0,3+,14.0,Moderately Old,sector 67,flat,2036.0,0,1,0,1,0,0,165
pioneer park,2.04,14623.0,3.0,3.0,3+,16.0,Moderately Old,sector 61,flat,1395.0,0,1,0,0,0,0,165
alpha corp gurgaonone,2.24,6523.0,4.0,4.0,3,12.0,Relatively New,sector 84,flat,2900.0,0,1,0,0,0,2,20
godrej icon,1.31,8100.0,2.0,2.0,3+,3.0,Relatively New,sector 88a,flat,1293.6000000000001,1,0,0,0,0,2,102
emaar mgf emerald estate,1.7,21013.0,3.0,3.0,3,7.0,Relatively New,sector 65,flat,809.0,1,0,0,0,0,0,116
vatika gurgaon,1.19,7437.0,3.0,3.0,2,10.0,Relatively New,sector 83,flat,1600.0,0,1,0,0,0,0,35
emaar palm heights,1.75,11666.0,3.0,3.0,3+,11.0,Relatively New,sector 77,flat,1500.0,0,1,0,0,0,2,94
vatika gurgaon,1.12,6455.0,3.0,3.0,2,17.0,Moderately Old,sector 83,flat,1400.0,0,0,0,0,0,0,111
green campus chs,0.92,4022.0,3.0,3.0,3+,8.0,Moderately Old,sector 1,flat,1600.0,0,1,0,0,0,2,5
green campus chs,0.9,3935.0,3.0,3.0,3+,6.0,Moderately Old,sector 1,flat,1829.6000000000001,0,1,0,0,0,2,5
puri emerald bay,2.3,9387.0,3.0,4.0,3+,10.0,Moderately Old,sector 104,flat,1960.0,0,1,0,0,0,2,101
puri emerald bay,1.58,9117.0,2.0,3.0,3,11.0,Relatively New,sector 104,flat,1360.0,0,1,0,0,0,2,101
indiabulls enigma,4.25,10953.0,5.0,5.0,3+,4.0,Relatively New,sector 110,flat,3104.0,0,1,0,0,0,2,101
bestech park view sanskruti,1.68,11052.0,3.0,4.0,3+,15.0,Relatively New,sector 92,flat,1520.0,0,1,0,0,0,0,174
ireo victory valley,4.55,14536.0,4.0,4.0,3+,19.0,Relatively New,sector 67,flat,2504.0,0,1,0,0,0,0,156
bestech park view spa next,2.85,12127.0,4.0,4.0,3+,5.0,Moderately Old,sector 67,flat,1880.0,0,1,0,1,0,0,149
bestech park view spa next,2.35,12144.0,3.0,4.0,3+,14.0,Moderately Old,sector 67,flat,1548.0,0,1,0,0,0,0,156
dlf the ultima,2.3,10994.0,3.0,4.0,3+,6.0,New Property,sector 81,flat,1673.6000000000001,0,1,0,0,0,1,167
dlf the ultima,2.26,10761.0,3.0,4.0,3+,17.0,New Property,sector 81,flat,1680.0,0,1,0,0,0,1,174
ambience creacions,4.78,15469.0,3.0,4.0,3,7.0,Relatively New,sector 22,flat,2250.0,0,1,0,0,1,1,111
tulip ivory,2.0,8333.0,4.0,5.0,3+,7.0,Moderately Old,sector 70,flat,1950.0,0,1,0,0,0,0,174
ireo skyon,3.75,13392.0,4.0,4.0,3,12.0,Relatively New,sector 60,flat,2350.0,0,1,0,0,0,0,49
ambience creacions,6.16,20533.0,4.0,5.0,3+,10.0,New Property,sector 22,flat,3000.0,0,1,0,1,0,0,49
m3m golfestate,5.3,24211.0,3.0,3.0,3,38.0,Moderately Old,sector 65,flat,2189.0,0,1,0,0,0,1,49
umang winter hills,0.75,5588.0,2.0,2.0,2,8.0,Relatively New,sector 77,flat,969.0,0,0,1,0,0,0,102
mapsko mount ville,1.25,8389.0,3.0,3.0,3,18.0,Relatively New,sector 79,flat,863.910614,1,0,0,0,0,0,102
godrej,2.0,8474.0,3.0,4.0,3+,9.0,Relatively New,sector 79,flat,1629.0,0,1,0,0,0,2,108
mapsko mount ville,1.3,8724.0,3.0,3.0,3,19.0,Relatively New,sector 79,flat,863.910614,0,0,1,0,0,0,102
city heights,1.75,8750.0,3.0,4.0,3,3.0,Old Property,sector 39,flat,2000.0,0,1,0,0,0,1,42
kw royal court,2.0,6250.0,5.0,4.0,3,9.0,Old Property,sector 39,flat,3200.0,0,1,0,0,0,1,49
shree vardhman victoria,1.78,9128.0,3.0,3.0,3+,7.0,Relatively New,sector 70,flat,1560.0,0,1,0,0,1,2,49
alpha corp gurgaonone,1.15,7496.0,2.0,2.0,3,14.0,Relatively New,sector 84,flat,1260.0,1,0,0,0,0,2,28
cghs airport apartment,1.65,7857.0,3.0,3.0,3,1.0,Old Property,sector 47,flat,1720.0,0,0,0,0,1,0,136
gls avenue 51,0.21,6953.0,1.0,1.0,1,0.0,Relatively New,sector 92,flat,302.0,0,0,0,0,0,2,63
kamroon court,2.75,13750.0,3.0,4.0,3+,5.0,Moderately Old,sector 43,flat,2000.0,0,1,0,0,1,0,49
bestech park view spa next,2.72,11574.0,4.0,4.0,3+,0.0,Relatively New,sector 67,flat,2001.0,0,1,0,1,0,0,128
unitech uniworld gardens,2.4,11505.0,3.0,4.0,3+,10.0,Moderately Old,sector 47,flat,1750.0,0,1,0,0,0,2,103
tata primanti,4.1,13725.0,3.0,3.0,3,8.0,Moderately Old,sector 72,flat,2040.0,0,1,0,0,0,2,38
chd avenue,1.12,6215.0,3.0,4.0,3,0.0,Moderately Old,sector 71,flat,1441.6000000000001,0,1,0,0,0,2,65
shree vardhman flora,0.65,4814.0,2.0,2.0,3,10.0,Moderately Old,sector 90,flat,1080.0,1,0,0,0,0,0,83
dlf the crest,11.0,35483.0,4.0,5.0,3+,7.0,Relatively New,sector 54,flat,3100.0,1,1,0,1,0,2,49
dlf regal gardens,1.26,7403.0,3.0,3.0,3,6.0,Relatively New,sector 90,flat,1500.0,0,0,0,0,1,0,28
dlf regal gardens,1.8,7223.0,4.0,4.0,3+,7.0,Moderately Old,sector 90,flat,1772.0,0,0,0,0,0,2,38
m3m golfestate,5.9,17484.0,3.0,3.0,3,18.0,Relatively New,sector 65,flat,2690.4,1,1,0,0,0,2,76
bestech park view city,2.9,12169.0,4.0,4.0,3+,5.0,Moderately Old,sector 49,flat,1906.4,0,1,0,0,0,2,117
dlf the skycourt,1.59,8242.0,3.0,3.0,3,17.0,Relatively New,sector 86,flat,1548.0,0,0,0,0,1,0,165
dlf the ultima,2.21,10365.0,3.0,3.0,3+,3.0,Relatively New,sector 81,flat,1650.0,0,1,0,0,0,1,149
emaar palm gardens,1.48,7789.0,3.0,3.0,3,7.0,Relatively New,sector 83,flat,1240.00128,0,1,0,0,0,2,66
experion the heartsong,0.98,13343.0,2.0,3.0,3,4.0,Relatively New,sector 108,flat,734.420897,1,0,0,0,0,2,135
shapoorji pallonji joyville gurugram,2.04,14068.0,3.0,3.0,3+,1.0,Relatively New,sector 102,flat,1450.0,0,0,0,0,0,2,72
orris aster court premier,1.5,5859.0,4.0,5.0,3+,6.0,New Property,sector 85,flat,1800.0,0,1,0,0,0,0,28
orris aster court premier,1.49,5820.0,4.0,5.0,3+,10.0,Relatively New,sector 85,flat,1890.0,0,1,0,0,0,0,84
orris aster court premier,1.2,5660.0,3.0,4.0,2,6.0,Relatively New,sector 85,flat,1550.0,0,1,0,0,0,2,28
shree vardhman flora,0.86,6254.0,3.0,4.0,3,0.0,Relatively New,sector 90,flat,1375.0,0,1,0,0,0,0,84
orris carnation residency,0.9,4531.0,4.0,4.0,3,8.0,Moderately Old,sector 85,flat,1435.0,0,0,0,0,0,0,40
saan verdante,2.0,10178.0,3.0,4.0,3+,5.0,New Property,sector 95,flat,1965.0,0,1,0,0,0,2,49
tulip violet,1.85,9203.0,4.0,4.0,2,14.0,Relatively New,sector 69,flat,1608.0,0,0,0,0,0,0,157
puri emerald bay,2.65,15007.0,3.0,4.0,3,15.0,Relatively New,sector 104,flat,1765.710156,0,1,0,0,0,0,174
emaar gurgaon greens,1.5,9090.0,3.0,3.0,3,7.0,Relatively New,sector 102,flat,1022.5705,0,0,0,1,0,0,174
ats kocoon,1.75,10028.0,3.0,3.0,3,10.0,Relatively New,sector 109,flat,1250.0,0,0,0,1,0,0,49
puri emerald bay,1.32,8516.0,2.0,2.0,2,10.0,Relatively New,sector 104,flat,1240.0,0,0,0,0,0,2,128
vatika city homes,0.8,6060.0,2.0,2.0,2,8.0,Moderately Old,sector 83,flat,1056.0,0,0,1,0,0,2,22
experion the heartsong,1.2,6825.0,3.0,2.0,3+,11.0,Relatively New,sector 108,flat,1400.0,0,1,0,1,0,0,174
pioneer urban presidia,6.5,14987.0,4.0,4.0,3+,3.0,Moderately Old,sector 62,flat,3469.6000000000004,1,0,0,0,0,2,86
paras dews,1.17,6647.0,3.0,4.0,3+,12.0,Relatively New,sector 106,flat,1130.0,0,1,0,0,0,2,49
paras dews,1.15,6052.0,3.0,4.0,3,5.0,Relatively New,sector 106,flat,1173.0,1,1,0,0,0,2,49
la vida by tata housing,2.48,14090.0,3.0,3.0,3+,8.0,New Property,sector 113,flat,1760.0,0,1,0,0,0,2,79
shri banke bihari society,1.35,9642.0,3.0,3.0,3+,4.0,Old Property,sector 56,flat,1400.0,0,0,0,0,1,0,174
indiabulls centrum park,1.15,8679.0,2.0,2.0,3,10.0,Relatively New,sector 103,flat,865.0,1,0,0,0,0,0,174
sobha city,2.95,14727.0,3.0,4.0,2,12.0,Relatively New,sector 108,flat,1400.0,0,0,0,0,0,2,49
m3m merlin,3.4,14418.0,3.0,4.0,3,17.0,Relatively New,sector 67,flat,1886.4,0,1,0,0,0,0,174
m3m merlin,2.8,13671.0,3.0,3.0,3,2.0,Relatively New,sector 67,flat,1638.4,0,0,1,0,0,1,174
ats kocoon,2.15,10262.0,3.0,4.0,3,9.0,Relatively New,sector 109,flat,1676.0,0,1,0,0,0,2,97
shapoorji pallonji joyville gurugram,1.76,10224.0,3.0,3.0,3,1.0,Relatively New,sector 102,flat,1353.6000000000001,0,0,0,0,0,2,100
puri diplomatic greens,3.45,11694.0,4.0,5.0,3+,10.0,Relatively New,sector 111,flat,2360.0,0,1,0,0,0,2,101
indiabulls enigma,3.3,9850.0,4.0,5.0,3,7.0,Relatively New,sector 110,flat,2680.0,0,1,0,0,0,2,101
ats triumph,1.75,7641.0,3.0,4.0,3+,11.0,Relatively New,sector 104,flat,1832.0,0,1,0,0,0,2,110
ats triumph,2.78,8825.0,4.0,4.0,3+,11.0,Relatively New,sector 104,flat,2520.0,0,1,0,0,0,2,110
paras dews,1.42,6029.0,4.0,6.0,3+,11.0,Relatively New,sector 106,flat,1884.0,0,1,0,0,0,2,143
shapoorji pallonji joyville gurugram,2.4,10545.0,4.0,4.0,3+,15.0,Relatively New,sector 102,flat,1729.6000000000001,0,0,0,0,0,2,108
experion the heartsong,2.28,8204.0,4.0,5.0,3+,8.0,Relatively New,sector 108,flat,2223.2000000000003,0,0,0,0,0,2,101
sobha city,1.9,13758.0,2.0,2.0,2,8.0,Relatively New,sector 108,flat,1104.8,0,0,0,0,0,2,85
sobha city,3.25,15685.0,3.0,3.0,3,12.0,Relatively New,sector 108,flat,1657.6000000000001,0,0,0,0,0,2,99
sbtl caladium,1.6,6286.0,3.0,3.0,3,9.0,Relatively New,sector 109,flat,2036.0,0,1,0,0,0,2,75
ats triumph,4.45,6846.0,4.0,5.0,3+,27.0,Relatively New,sector 104,flat,6500.0,0,0,0,0,0,2,110
m3m woodshire,0.82,6002.0,2.0,2.0,3+,7.0,Relatively New,sector 107,flat,1092.8,0,0,0,0,0,2,111
signature global solera,0.5,7751.0,3.0,2.0,2,6.0,Relatively New,sector 107,flat,645.0,0,0,0,0,1,2,15
signature global solera,0.52,8062.0,3.0,2.0,2,5.0,Relatively New,sector 107,flat,645.0,0,0,0,0,1,2,15
signature global solera,0.28,5725.0,2.0,2.0,2,6.0,Relatively New,sector 107,flat,489.0,0,0,0,0,0,2,45
signature global solera,0.29,5930.0,2.0,2.0,2,3.0,Relatively New,sector 107,flat,489.0,0,0,0,0,0,2,45
experion the heartsong,0.97,9238.0,2.0,2.0,3,10.0,Relatively New,sector 108,flat,1050.0,0,1,0,0,0,2,165
m3m woodshire,0.8,5856.0,2.0,2.0,3+,7.0,Relatively New,sector 107,flat,1092.8,0,0,0,0,0,0,165
emaar gurgaon greens,1.45,14179.0,3.0,3.0,3,10.0,Relatively New,sector 102,flat,1022.5705,0,1,0,0,0,2,165
laxmi apartment,0.55,6470.0,3.0,2.0,1,3.0,Relatively New,sai kunj,flat,850.0,0,0,0,0,0,2,0
pareena coban residences,1.1,7096.0,2.0,2.0,3,9.0,New Property,sector 99a,flat,1200.0,1,0,0,0,0,2,88
ireo the corridors,1.4,9433.0,2.0,2.0,2,8.0,Relatively New,sector 67a,flat,860.0,1,0,0,0,1,2,90
tulip violet,1.42,8998.0,3.0,3.0,2,8.0,Relatively New,sector 69,flat,1262.4,0,0,0,1,0,0,94
dlf the primus,2.95,11451.0,4.0,5.0,3+,10.0,Relatively New,sector 82a,flat,1700.0,0,1,0,0,0,1,174
experion windchants,2.6,10651.0,2.0,2.0,3,8.0,Relatively New,sector 112,flat,1952.8000000000002,0,0,0,0,0,2,168
ansal housing highland park,1.1,6242.0,3.0,3.0,3+,7.0,New Property,sector 103,flat,1300.0,0,0,0,0,0,2,87
m3m woodshire,0.75,5490.0,2.0,2.0,3+,14.0,Relatively New,sector 107,flat,1050.0,0,0,0,1,0,2,174
m3m woodshire,1.3,8922.0,3.0,3.0,3+,4.0,Relatively New,sector 107,flat,1457.0,0,0,0,1,0,0,174
m3m woodshire,1.49,6310.0,3.0,4.0,3+,5.0,Relatively New,sector 107,flat,1888.8000000000002,0,1,1,0,0,0,174
godrej oasis,1.19,10162.0,2.0,2.0,3,15.0,Relatively New,sector 88a,flat,1171.0,1,0,0,1,0,0,174
godrej oasis,1.15,7116.0,2.0,2.0,3,14.0,Relatively New,sector 88a,flat,1168.0,1,0,0,1,0,2,174
satya the hermitage,0.99,6655.0,3.0,4.0,3+,2.0,Relatively New,sector 103,flat,1495.0,0,1,0,1,0,2,174
vatika gurgaon,0.78,6265.0,2.0,2.0,2,3.0,Relatively New,sector 83,flat,790.0,1,0,0,1,0,0,165
vatika gurgaon,1.15,5808.0,3.0,3.0,2,3.0,Relatively New,sector 83,flat,1308.0,1,1,1,1,0,0,165
raheja vedaanta,0.8,4080.0,3.0,3.0,3,9.0,Relatively New,sector 108,flat,1470.4,0,0,0,1,0,2,174
conscient heritage max,2.2,10237.0,3.0,4.0,3+,20.0,Relatively New,sector 102,flat,1130.0,1,1,0,0,0,0,45
shree arihant apartment,1.55,8611.0,3.0,3.0,3,3.0,Moderately Old,sector 54,flat,1800.0,0,1,0,0,0,0,109
tulip violet,1.55,9822.0,3.0,3.0,2,0.0,Relatively New,sector 69,flat,1262.4,0,0,0,1,0,0,129
tulip white,0.9,6000.0,3.0,2.0,3+,1.0,Relatively New,sector 69,flat,1050.0,0,0,0,0,0,0,149
denso haryana housing society,0.9,4308.0,3.0,3.0,3+,5.0,Moderately Old,sector 1,flat,2089.0,0,1,0,0,0,2,7
